#{"t_start": 1751544158.1495821, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,514.260784,False
-50.0,50,515.05452,False
-50.0,50,515.85976,False
-50.0,50,516.674315,False
-50.0,50,517.50176,False
-50.0,50,518.315558,False
-50.0,50,519.116284,False
-50.0,50,519.914524,False
-50.0,50,520.734791,False
-50.0,50,521.570726,False
-50.0,50,522.406583,False
-50.0,50,523.207806,False
-50.0,50,524.007194,False
-50.0,50,524.802669,False
-50.0,50,525.590823,False
-50.0,50,526.375421,False
-50.0,50,527.195014,False
-50.0,50,528.02025,False
-50.0,50,528.837501,False
-50.0,50,529.663219,False
-50.0,50,530.489664,False
-50.0,50,531.300081,False
-50.0,50,532.12641,False
-50.0,50,532.927258,False
-50.0,50,533.718433,False
-50.0,50,534.544146,False
-50.0,50,535.328586,False
-50.0,50,536.160729,False
-50.0,50,536.983061,False
-50.0,50,586.78083,False
-50.0,50,587.588292,False
-50.0,50,588.414425,False
-50.0,50,589.232684,False
-50.0,50,590.045978,False
-50.0,50,590.845573,False
-50.0,50,591.654604,False
-50.0,50,592.476585,False
-50.0,50,593.271311,False
-50.0,50,594.063579,False
-50.0,50,594.886939,False
-50.0,50,595.697675,False
-50.0,50,596.491327,False
-50.0,50,597.28908,False
-50.0,50,598.080703,False
-50.0,50,598.900802,False
-50.0,50,599.719107,False
-50.0,50,600.531015,False
-50.0,50,601.319931,False
-50.0,50,602.10458,False
-50.0,50,602.920994,False
-50.0,50,603.718796,False
-50.0,50,604.530042,False
-50.0,50,605.328108,False
-50.0,50,606.1264,False
-50.0,50,606.976258,False
-50.0,50,607.766876,False
-50.0,50,608.541803,False
-50.0,50,609.340902,False
-50.0,50,610.179863,False
-50.0,50,610.992787,False
-50.0,50,611.805197,False
-50.0,50,612.589358,False
-50.0,50,613.407473,False
-50.0,50,614.217365,False
-50.0,50,615.025001,False
-50.0,50,615.820606,False
-50.0,50,616.62255,False
-50.0,50,617.432515,False
-50.0,50,618.26161,False
-50.0,50,619.093253,False
-50.0,50,619.911341,False
-50.0,50,620.691332,False
-50.0,50,621.477777,False
-50.0,50,622.281229,False
-50.0,50,623.071566,False
-50.0,50,623.887409,False
-50.0,50,624.719556,False
-50.0,50,625.550761,False
-50.0,50,626.352655,False
-50.0,50,627.180804,False
-50.0,50,628.009459,False
-50.0,50,628.814667,False
-50.0,50,629.621972,False
-50.0,50,630.451656,False
-50.0,50,631.29141,False
-50.0,50,632.158515,False
-50.0,50,632.937558,False
-50.0,50,633.724511,False
-50.0,50,634.522452,False
-50.0,50,635.315427,False
-50.0,50,636.127993,False
-50.0,50,636.936713,False
-50.0,50,637.750933,False
-50.0,50,638.578715,False
-50.0,50,639.373216,False
-50.0,50,640.188761,False
-50.0,50,640.985896,False
-50.0,50,641.781773,False
-50.0,50,642.557496,False
-50.0,50,643.368692,False
-50.0,50,644.185664,False
-50.0,50,645.002119,False
-50.0,50,645.834328,False
-50.0,50,646.639007,False
-50.0,50,647.430469,False
0.0,50,648.241792,True
-50.0,50,649.039028,False
-50.0,50,649.850719,False
-50.0,50,650.641744,False
