time/time_elapsed,time/episodes,rollout/success_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
131,171,0.02,64,8550,-49.16,50.0,,,,,,,,,
132,172,0.02,64,8600,-49.16,50.0,,,,,,,,,
132,173,0.02,65,8650,-49.16,50.0,,,,,,,,,
133,174,0.02,65,8700,-49.16,50.0,,,,,,,,,
133,175,0.02,65,8750,-49.16,50.0,,,,,,,,,
134,176,0.02,65,8800,-49.16,50.0,,,,,,,,,
134,177,0.02,65,8850,-49.16,50.0,,,,,,,,,
135,178,0.02,65,8900,-49.16,50.0,,,,,,,,,
135,179,0.02,65,8950,-49.16,50.0,,,,,,,,,
136,180,0.02,66,9000,-49.16,50.0,,,,,,,,,
136,181,0.02,66,9050,-49.16,50.0,,,,,,,,,
137,182,0.02,66,9100,-49.16,50.0,,,,,,,,,
137,183,0.02,66,9150,-49.16,50.0,,,,,,,,,
138,184,0.02,66,9200,-49.16,50.0,,,,,,,,,
138,185,0.02,66,9250,-49.16,50.0,,,,,,,,,
139,186,0.02,66,9300,-49.16,50.0,,,,,,,,,
139,187,0.02,66,9350,-49.16,50.0,,,,,,,,,
140,188,0.02,67,9400,-49.16,50.0,,,,,,,,,
140,189,0.02,67,9450,-49.16,50.0,,,,,,,,,
141,190,0.01,67,9500,-49.66,50.0,,,,,,,,,
141,191,0.01,67,9550,-49.66,50.0,,,,,,,,,
141,192,0.01,67,9600,-49.66,50.0,,,,,,,,,
142,193,0.01,67,9650,-49.66,50.0,,,,,,,,,
142,194,0.01,67,9700,-49.66,50.0,,,,,,,,,
143,195,0.01,67,9750,-49.66,50.0,,,,,,,,,
143,196,0.01,68,9800,-49.66,50.0,,,,,,,,,
144,197,0.01,68,9850,-49.66,50.0,,,,,,,,,
144,198,0.01,68,9900,-49.66,50.0,,,,,,,,,
145,199,0.01,68,9950,-49.66,50.0,,,,,,,,,
,,,,10000,,,0.01,-49.5,50.0,,,,,,
195,200,0.01,51,10000,-49.66,50.0,,,,,,,,,
196,201,0.01,51,10050,-49.66,50.0,,,,0.0009966503333333333,0.953206479549408,-0.16002820432186127,-3.460783004760742,0.21297790110111237,49
197,202,0.01,51,10100,-49.66,50.0,,,,0.0009966336666666666,0.9068297743797302,-0.3282967805862427,-5.001372814178467,0.15435580909252167,99
198,203,0.01,51,10150,-49.66,50.0,,,,0.000996617,0.8627298474311829,-0.4936571717262268,-6.1899824142456055,0.15278038382530212,149
198,204,0.01,51,10200,-49.66,50.0,,,,0.0009966003333333334,0.8207696080207825,-0.6617954969406128,-7.135768413543701,0.14728601276874542,199
199,205,0.01,51,10250,-49.66,50.0,,,,0.0009965836666666666,0.7808514833450317,-0.8316583633422852,-8.049840927124023,0.17360162734985352,249
200,206,0.01,51,10300,-49.66,50.0,,,,0.000996567,0.7428756952285767,-1.0018051862716675,-8.475550651550293,0.11663255095481873,299
201,207,0.01,51,10350,-49.66,50.0,,,,0.0009965503333333333,0.7067285776138306,-1.1657476425170898,-8.776872634887695,0.11227986216545105,349
