time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
184,67,136,50.0,-49.16,0.02,9200,,,,,,,,,
185,67,137,50.0,-49.16,0.02,9250,,,,,,,,,
186,67,137,50.0,-49.16,0.02,9300,,,,,,,,,
187,67,138,50.0,-49.16,0.02,9350,,,,,,,,,
188,67,138,50.0,-49.16,0.02,9400,,,,,,,,,
189,67,139,50.0,-49.16,0.02,9450,,,,,,,,,
190,68,139,50.0,-49.66,0.01,9500,,,,,,,,,
191,68,140,50.0,-49.66,0.01,9550,,,,,,,,,
192,68,140,50.0,-49.66,0.01,9600,,,,,,,,,
193,68,141,50.0,-49.66,0.01,9650,,,,,,,,,
194,68,141,50.0,-49.66,0.01,9700,,,,,,,,,
195,68,142,50.0,-49.66,0.01,9750,,,,,,,,,
196,68,142,50.0,-49.66,0.01,9800,,,,,,,,,
197,68,142,50.0,-49.66,0.01,9850,,,,,,,,,
198,69,143,50.0,-49.66,0.01,9900,,,,,,,,,
199,69,143,50.0,-49.66,0.01,9950,,,,,,,,,
,,,,,,10000,0.01,50.0,-49.5,,,,,,
200,51,193,50.0,-49.66,0.01,10000,,,,,,,,,
201,51,194,50.0,-49.66,0.01,10050,,,,49,0.0009966503333333333,0.23513281345367432,-0.1598711460828781,0.9532047510147095,-3.414661407470703
202,51,195,50.0,-49.66,0.01,10100,,,,99,0.0009966336666666666,0.19077864289283752,-0.32876983284950256,0.9068312048912048,-5.013278961181641
203,51,196,50.0,-49.66,0.01,10150,,,,149,0.000996617,0.182302325963974,-0.4938032925128937,0.8627068400382996,-6.1852874755859375
204,51,196,50.0,-49.66,0.01,10200,,,,199,0.0009966003333333334,0.1807156652212143,-0.6624726057052612,0.8207352757453918,-7.093019962310791
205,51,197,50.0,-49.66,0.01,10250,,,,249,0.0009965836666666666,0.22110995650291443,-0.8318889141082764,0.7808226346969604,-7.763808250427246
206,51,198,50.0,-49.66,0.01,10300,,,,299,0.000996567,0.16426995396614075,-1.0010490417480469,0.7428545951843262,-8.246448516845703
207,51,199,50.0,-49.66,0.01,10350,,,,349,0.0009965503333333333,0.11816275119781494,-1.1670316457748413,0.7067289352416992,-8.674261093139648
208,52,199,50.0,-49.66,0.01,10400,,,,399,0.0009965336666666667,0.1574421375989914,-1.3377656936645508,0.6723610162734985,-8.874488830566406
209,52,200,50.0,-49.66,0.01,10450,,,,449,0.000996517,0.1498328596353531,-1.4999735355377197,0.6397312879562378,-8.917863845825195
210,52,201,50.0,-49.66,0.01,10500,,,,499,0.0009965003333333334,0.22421219944953918,-1.6681673526763916,0.6086583733558655,-8.690681457519531
