rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,59,135,6750,-49.24,0.02,114,,,,,,,,,
50.0,59,136,6800,-49.24,0.02,114,,,,,,,,,
50.0,59,137,6850,-49.24,0.02,115,,,,,,,,,
50.0,59,138,6900,-49.24,0.02,115,,,,,,,,,
50.0,59,139,6950,-49.24,0.02,116,,,,,,,,,
50.0,60,140,7000,-49.24,0.02,116,,,,,,,,,
50.0,60,141,7050,-49.24,0.02,117,,,,,,,,,
50.0,60,142,7100,-49.24,0.02,117,,,,,,,,,
50.0,60,143,7150,-49.24,0.02,118,,,,,,,,,
50.0,60,144,7200,-49.24,0.02,118,,,,,,,,,
50.0,60,145,7250,-49.24,0.02,119,,,,,,,,,
50.0,61,146,7300,-49.24,0.02,119,,,,,,,,,
50.0,61,147,7350,-49.24,0.02,120,,,,,,,,,
50.0,61,148,7400,-49.24,0.02,120,,,,,,,,,
50.0,61,149,7450,-49.24,0.02,121,,,,,,,,,
50.0,61,150,7500,-49.24,0.02,121,,,,,,,,,
50.0,61,151,7550,-49.24,0.02,121,,,,,,,,,
50.0,62,152,7600,-49.24,0.02,122,,,,,,,,,
50.0,62,153,7650,-49.24,0.02,122,,,,,,,,,
50.0,62,154,7700,-49.24,0.02,123,,,,,,,,,
50.0,62,155,7750,-49.24,0.02,123,,,,,,,,,
50.0,62,156,7800,-49.24,0.02,124,,,,,,,,,
50.0,62,157,7850,-49.24,0.02,124,,,,,,,,,
50.0,63,158,7900,-49.24,0.02,125,,,,,,,,,
50.0,63,159,7950,-49.24,0.02,125,,,,,,,,,
50.0,63,160,8000,-49.24,0.02,126,,,,,,,,,
50.0,63,161,8050,-49.24,0.02,126,,,,,,,,,
50.0,63,162,8100,-49.24,0.02,127,,,,,,,,,
50.0,63,163,8150,-49.24,0.02,127,,,,,,,,,
50.0,63,164,8200,-49.24,0.02,128,,,,,,,,,
50.0,64,165,8250,-49.24,0.02,128,,,,,,,,,
50.0,64,166,8300,-49.24,0.02,129,,,,,,,,,
50.0,64,167,8350,-49.24,0.02,129,,,,,,,,,
50.0,64,168,8400,-49.24,0.02,130,,,,,,,,,
50.0,64,169,8450,-49.24,0.02,130,,,,,,,,,
50.0,64,170,8500,-49.24,0.02,131,,,,,,,,,
50.0,64,171,8550,-49.24,0.02,131,,,,,,,,,
50.0,65,172,8600,-49.24,0.02,132,,,,,,,,,
50.0,65,173,8650,-49.24,0.02,132,,,,,,,,,
50.0,65,174,8700,-49.24,0.02,133,,,,,,,,,
50.0,65,175,8750,-49.24,0.02,133,,,,,,,,,
50.0,65,176,8800,-49.24,0.02,133,,,,,,,,,
50.0,65,177,8850,-49.24,0.02,134,,,,,,,,,
50.0,65,178,8900,-49.24,0.02,134,,,,,,,,,
50.0,66,179,8950,-49.24,0.02,135,,,,,,,,,
50.0,66,180,9000,-49.24,0.02,135,,,,,,,,,
50.0,66,181,9050,-49.24,0.02,136,,,,,,,,,
50.0,66,182,9100,-49.24,0.02,136,,,,,,,,,
50.0,66,183,9150,-49.24,0.02,137,,,,,,,,,
50.0,66,184,9200,-49.24,0.02,137,,,,,,,,,
50.0,66,185,9250,-49.24,0.02,138,,,,,,,,,
50.0,67,186,9300,-49.24,0.02,138,,,,,,,,,
50.0,67,187,9350,-49.24,0.02,139,,,,,,,,,
50.0,67,188,9400,-49.24,0.02,139,,,,,,,,,
50.0,67,189,9450,-49.24,0.02,140,,,,,,,,,
50.0,67,190,9500,-49.24,0.02,140,,,,,,,,,
50.0,67,191,9550,-49.24,0.02,141,,,,,,,,,
