#{"t_start": 1751570594.9563727, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,484.982287,False
-50.0,50,485.771516,False
-50.0,50,486.584837,False
-50.0,50,487.387197,False
-50.0,50,488.171127,False
-50.0,50,488.955343,False
-50.0,50,489.765144,False
-50.0,50,490.59469,False
-50.0,50,491.378804,False
-50.0,50,492.181464,False
-50.0,50,492.991955,False
-50.0,50,493.811049,False
-50.0,50,494.589314,False
-50.0,50,495.411144,False
-50.0,50,496.224043,False
-50.0,50,497.001899,False
-50.0,50,497.779886,False
-49.0,50,498.575924,False
-50.0,50,499.414517,False
-50.0,50,500.244934,False
-50.0,50,501.03981,False
-50.0,50,501.829303,False
-50.0,50,502.637542,False
-50.0,50,503.458502,False
-50.0,50,504.253059,False
-50.0,50,505.066225,False
-50.0,50,505.891851,False
-50.0,50,506.717129,False
-50.0,50,507.518698,False
-50.0,50,508.28814,False
-50.0,50,509.106559,False
-50.0,50,509.898296,False
-50.0,50,510.708312,False
-50.0,50,511.528481,False
-50.0,50,512.344018,False
-50.0,50,513.132447,False
-50.0,50,513.960171,False
-50.0,50,514.744506,False
-50.0,50,515.535613,False
-50.0,50,516.345497,False
-50.0,50,517.131412,False
-50.0,50,517.933931,False
-50.0,50,518.730078,False
-50.0,50,519.518072,False
-50.0,50,520.315147,False
-50.0,50,521.146857,False
-50.0,50,521.912486,False
-50.0,50,522.719682,False
-50.0,50,523.529659,False
-50.0,50,524.323408,False
-50.0,50,525.151056,False
-50.0,50,525.94206,False
-50.0,50,526.751754,False
-50.0,50,527.55906,False
-50.0,50,528.385059,False
-50.0,50,529.202347,False
-50.0,50,530.016766,False
-50.0,50,530.818458,False
-50.0,50,531.60616,False
-50.0,50,532.406981,False
-50.0,50,533.212848,False
-50.0,50,583.428474,False
-50.0,50,584.25012,False
-50.0,50,585.040126,False
-50.0,50,585.832874,False
-50.0,50,586.645972,False
-50.0,50,587.447607,False
-50.0,50,588.277451,False
-50.0,50,589.078093,False
-50.0,50,589.866461,False
-50.0,50,590.646755,False
-50.0,50,591.456621,False
-50.0,50,592.245266,False
-50.0,50,593.053856,False
-50.0,50,593.866414,False
-50.0,50,594.686087,False
-50.0,50,595.509155,False
-50.0,50,596.319452,False
-50.0,50,597.114677,False
-50.0,50,597.91797,False
-50.0,50,598.710986,False
-50.0,50,599.496389,False
-50.0,50,600.287291,False
-50.0,50,601.094659,False
-50.0,50,601.915859,False
-50.0,50,602.704852,False
-50.0,50,603.498079,False
-50.0,50,604.305615,False
-50.0,50,605.105069,False
-50.0,50,605.910995,False
-50.0,50,606.725127,False
-50.0,50,607.522016,False
-50.0,50,608.353816,False
-50.0,50,609.17071,False
-50.0,50,609.989652,False
-50.0,50,610.788077,False
-50.0,50,611.610027,False
-50.0,50,612.424873,False
-50.0,50,613.225571,False
-50.0,50,614.037747,False
-50.0,50,614.822928,False
-50.0,50,615.633944,False
-50.0,50,616.448905,False
-50.0,50,617.240821,False
-50.0,50,618.016757,False
-50.0,50,618.812378,False
-50.0,50,619.611224,False
-50.0,50,620.399079,False
-50.0,50,621.198104,False
-50.0,50,621.988606,False
-50.0,50,622.778413,False
-50.0,50,623.560943,False
-50.0,50,624.338346,False
-50.0,50,625.118571,False
-50.0,50,625.924528,False
-50.0,50,626.768874,False
-50.0,50,627.593693,False
-50.0,50,628.411756,False
-50.0,50,629.19917,False
-50.0,50,630.009603,False
-50.0,50,630.789813,False
-50.0,50,631.561162,False
-50.0,50,632.340039,False
-50.0,50,633.130204,False
-50.0,50,633.952677,False
-50.0,50,634.759423,False
-50.0,50,635.547409,False
-50.0,50,636.333402,False
-50.0,50,637.135498,False
-50.0,50,637.922031,False
-50.0,50,638.711005,False
-50.0,50,639.519358,False
-50.0,50,640.337457,False
-50.0,50,641.135497,False
-50.0,50,641.954381,False
-50.0,50,642.764372,False
-50.0,50,643.559605,False
-50.0,50,644.357652,False
-50.0,50,645.173091,False
-50.0,50,645.986465,False
-50.0,50,646.778481,False
-50.0,50,647.552878,False
