time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
246,231,12300,50.0,53,-50.0,0.0,,,,2.5054163932800293,0.0009959003333333335,2299,-6.301748752593994,0.1058158278465271,0.20129941403865814
247,232,12350,50.0,53,-50.0,0.0,,,,2.6889915466308594,0.0009958836666666667,2349,-7.056882858276367,0.10096164792776108,0.451460599899292
248,233,12400,50.0,53,-50.0,0.0,,,,2.569174289703369,0.0009958669999999999,2399,-6.566198348999023,0.09633905440568924,0.16905879974365234
249,233,12450,50.0,53,-50.0,0.0,,,,2.7068755626678467,0.0009958503333333333,2449,-7.0201616287231445,0.09190966933965683,0.1743166744709015
250,234,12500,50.0,53,-50.0,0.0,,,,2.7468385696411133,0.0009958336666666665,2499,-7.386930465698242,0.08772258460521698,0.3040517568588257
251,235,12550,50.0,53,-50.0,0.0,,,,2.9204134941101074,0.000995817,2549,-7.484689235687256,0.08364618569612503,0.2021825909614563
252,236,12600,50.0,53,-50.0,0.0,,,,3.217904567718506,0.0009958003333333334,2599,-7.581691741943359,0.0798136368393898,0.2502468526363373
253,237,12650,50.0,53,-50.0,0.0,,,,2.912968635559082,0.0009957836666666666,2649,-7.498696327209473,0.07613743841648102,0.18848270177841187
254,237,12700,50.0,53,-50.0,0.0,,,,3.6090831756591797,0.000995767,2699,-7.248290538787842,0.07266823202371597,0.23595069348812103
255,238,12750,50.0,53,-50.0,0.0,,,,3.3835489749908447,0.0009957503333333333,2749,-8.009820938110352,0.0693417340517044,0.4589013159275055
256,239,12800,50.0,53,-50.0,0.0,,,,3.2992911338806152,0.0009957336666666667,2799,-8.103062629699707,0.06618651002645493,0.25225830078125
257,240,12850,50.0,53,-50.0,0.0,,,,3.8298122882843018,0.000995717,2849,-8.367744445800781,0.06318140774965286,0.11564677953720093
258,241,12900,50.0,53,-50.0,0.0,,,,3.8014752864837646,0.0009957003333333333,2899,-7.964118957519531,0.06030426546931267,0.7468534111976624
259,241,12950,50.0,53,-50.0,0.0,,,,3.636378049850464,0.0009956836666666666,2949,-7.611600875854492,0.0575244314968586,0.26554277539253235
260,242,13000,50.0,53,-50.0,0.0,,,,3.8232510089874268,0.000995667,2999,-7.83480167388916,0.054911207407712936,0.27648019790649414
261,243,13050,50.0,53,-50.0,0.0,,,,3.7473039627075195,0.0009956503333333334,3049,-8.464722633361816,0.05242176726460457,0.13341012597084045
262,244,13100,50.0,53,-50.0,0.0,,,,3.9631505012512207,0.0009956336666666666,3099,-8.247876167297363,0.050061289221048355,0.5686504244804382
263,245,13150,50.0,53,-50.0,0.0,,,,4.050305366516113,0.000995617,3149,-8.288992881774902,0.047830116003751755,0.1092790961265564
